Name,Price,Vin Number,Vehicle Summary,Top features & Specs
2018 GMC Sierra 1500,"$36,990",3GTU2NEC8JG446325,"75,801 miles, automatic transmission, four wheel drive, 355 horsepower, gas engine, 16 city / 22 hwy, 5'9” bed length, 5 Seats",
2017 Ford C-Max Energi,"$13,990",1FADP5EUXHL104632,"40,545 miles, automatic transmission, front wheel drive, 5 Seats","Keyless Entry, Tilt & Telescoping Wheel"
2019 Chevrolet Silverado 1500,"$37,999",1GCRYEED4KZ200547,"50,192 miles, automatic transmission, four wheel drive, 355 horsepower, gas engine, 6'7” bed length, 5 Seats","Keyless Entry, Remote Start, Steering Wheel Controls, Android Auto, Apple Carplay, Handsfree/Bluetooth Integration, Wi-Fi Hotspot, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Automatic Headlights, Heated Mirrors, Max Trailering Package"
2016 GMC Sierra 1500,"$40,499",3GTU2NEC2GG149866,"49,164 miles, automatic transmission, four wheel drive, 16 city / 22 hwy, 5'9” bed length, 5 Seats","Heated Seats, Navigation System, Remote Keyless Entry, Remote Start, Seat Memory, Steering Wheel Controls, Aux Audio Adapter, Smart Device Integration, Wi-Fi Hotspot, Front Parking Sensors, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Fog Lights, Heated Mirrors, Trailer Hitch, Turn Signal Mirrors"
2018 Chevrolet Colorado,"$34,499",1GCPTDE10J1116888,"48,506 miles, automatic transmission, four wheel drive, 181 horsepower, diesel engine, 17 city / 24 hwy, 5'2” bed length, 5 Seats","Auto Climate Control, Heated Seats, Navigation System, Steering Wheel Controls, Android Auto, Apple Carplay, Handsfree/Bluetooth Integration, No pressure, Rear-View Camera, Automatic Headlights, Trailer Brake Controller"
2018 Chevrolet Silverado 1500,"$32,999",1GCVKREC9JZ121873,"54,641 miles, automatic transmission, four wheel drive, 355 horsepower, gas engine, 17 city / 22 hwy, 6'7” bed length, 6 Seats","Auto Climate Control, Remote Keyless Entry, Steering Wheel Controls, Android Auto, Apple Carplay, Smart Device Integration, Wi-Fi Hotspot, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Automatic Headlights, Heated Mirrors"
2017 Chevrolet Silverado 1500,"$36,499",3GCUKSEC3HG258630,"53,485 miles, automatic transmission, four wheel drive, 15 city / 20 hwy, 6'7” bed length, 5 Seats","Auto Climate Control, Dual-Zone Climate Control, Heated Seats, Heated Steering Wheel, Navigation System, Remote Keyless Entry, Remote Start, Seat Memory, Steering Wheel Controls, Smart Device Integration, Wi-Fi Hotspot, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Heated Mirrors, LED Fog Lights, Trailer Brake Controller, Turn Signal Mirrors"
2019 Ford F-150,"$33,990",1FTEW1CP2KFA29440,"55,386 miles, automatic transmission, rear wheel drive, 325 horsepower, gas engine, 19 city / 25 hwy, 5'7” bed length, 6 Seats","Tilt & Telescoping Wheel, Towing Pkg"
2019 Chevrolet Colorado,"$40,590",1GCGTEEN1K1190718,"30,391 miles, automatic transmission, four wheel drive, 308 horsepower, gas engine, 16 city / 18 hwy, 5'2” bed length, 5 Seats","Heated Seats, Keyless Entry, Navigation System, Tilt & Telescoping Wheel, Bluetooth Wireless, Towing Pkg"
2021 Mazda CX-9,"$36,999",JM3TCBCY9M0504271,"2,703 miles, automatic transmission, all wheel drive, 20 city / 26 hwy, 6 Seats","Auto Climate Control, Heated Seats, Multi-Zone Climate Control, Steering Wheel Controls, Handsfree/Bluetooth Integration, Parking Sensors, Rear-View Camera, Tire Pressure Monitoring System, Turn Signal Mirrors"
2016 Chevrolet Camaro,"$40,590",1G1FH1R79G0188884,"15,808 miles, automatic transmission, rear wheel drive, 16 city / 25 hwy, 4 Seats","Keyless Entry, Power Trunk Release, Tilt & Telescoping Wheel, Bluetooth Wireless, Blind Zone Alert, Parking Sensors, HID Headlamps"
2018 GMC Sierra 1500,"$44,499",3GTU2PEJXJG447809,"58,586 miles, automatic transmission, four wheel drive, 420 horsepower, gas engine, 15 city / 20 hwy, 5'9” bed length, 5 Seats","Auto Climate Control, Dual-Zone Climate Control, Heated Seats, Heated Steering Wheel, Navigation System, Remote Keyless Entry, Remote Start, Steering Wheel Controls, Wi-Fi Hotspot, Wireless Phone Charger, Collision Warning System, Lane Departure Warning, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Automatic Headlights, Heated Mirrors"
2018 Porsche Cayenne,"$52,999",WP1AB2A28JLA61086,"34,739 miles, automatic transmission, all wheel drive, 420 horsepower, gas engine, 17 city / 24 hwy, 5 Seats","Navigation System, Power Liftgate, Rain-Sensing Wipers, Rear Heated Seats, Seat Memory, Steering Wheel Controls, Handsfree/Bluetooth Integration, Front Parking Sensors, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Automatic Headlights, Heated Mirrors, Roof Rails, Turn Signal Mirrors"
2015 Chevrolet Corvette,"$49,999",1G1YK2D70F5113998,"20,498 miles, automatic transmission, rear wheel drive, 17 city / 29 hwy, 2 Seats","Cooled Seats, Dual-Zone Climate Control, Heated Seats, Keyless Entry, Navigation System, Remote Start, Steering Wheel Controls, Premium Sound System, Smart Device Integration, Wi-Fi Hotspot, No pressure, Rear-View Camera, Stability Control, Heated Mirrors"
2014 Chevrolet Corvette Stingray,"$46,990",1G1YF2D77E5115461,"23,552 miles, automatic transmission, rear wheel drive, 17 city / 29 hwy, 2 Seats","Keyless Entry, Navigation System, Tilt & Telescoping Wheel, Bluetooth Wireless, Head-Up Display, HID Headlamps, Premium Wheels"
2020 Kia Stinger,"$40,999",KNAE45LC2L6074046,"6,868 miles, automatic transmission, all wheel drive, 365 horsepower, gas engine, 17 city / 25 hwy, 5 Seats","Auto Climate Control, Dual-Zone Climate Control, Heated Seats, Heated Steering Wheel, Navigation System, Rain-Sensing Wipers, Remote Keyless Entry, Seat Memory, Steering Wheel Controls, Android Auto, Apple Carplay, Harman/Kardon Sound System, Wireless Phone Charger, Blind Spot Monitor, Collision Warning System, Front Parking Sensors, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Automatic Headlights, Heated Mirrors, Turn Signal Mirrors"
2019 Honda Civic,"$21,990",19XFC2F61KE038498,"15,822 miles, automatic transmission, front wheel drive, 158 horsepower, gas engine, 30 city / 38 hwy, 5 Seats","Adaptive Cruise Control, Keyless Entry, Power Trunk Release, Tilt & Telescoping Wheel, Bluetooth Wireless, Collision Warning, Lane Departure Warning System, Stability Control"
2017 Toyota Tundra,"$36,499",5TFEY5F19HX213253,"53,423 miles, automatic transmission, rear wheel drive, 381 horsepower, gas engine, 13 city / 18 hwy, 5'7” bed length, 6 Seats","Remote Keyless Entry, Smart Device Integration, Rear-View Camera, Tire Pressure Monitoring System, Fog Lights, Heated Mirrors, Trailer Brake Controller"
2020 Honda Civic,"$25,590",19XFC2E80LE029179,"13,661 miles, manual transmission, front wheel drive, 158 horsepower, gas engine, 25 city / 36 hwy, 5 Seats","Adaptive Cruise Control, Push Button Start, Tilt & Telescoping Wheel, Bluetooth Wireless, Collision Warning, Lane Departure Warning System, Stability Control, Fog Lights"
2019 Ram 2500,"$47,499",3C6UR5DJ6KG518837,"15,416 miles, automatic transmission, four wheel drive, 410 horsepower, gas engine, 6'4” bed length, 6 Seats","Remote Keyless Entry, Handsfree/Bluetooth Integration, Collision Warning System, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Halogen Headlights, Trailer Brake Controller, Turn Signal Mirrors"
2021 Toyota Camry,"$34,999",4T1K61BK2MU022927,"2,964 miles, automatic transmission, all wheel drive, 205 horsepower, gas engine, 25 city / 34 hwy, 5 Seats","Adaptive Cruise Control, Dual-Zone Climate Control, Heated Seats, Heated Steering Wheel, Navigation Package, Steering Wheel Controls, Android Auto, Apple Carplay, Handsfree/Bluetooth Integration, Subwoofer, Wi-Fi Hotspot, Blind Spot Monitor, Collision Warning System, Lane Departure Warning, No pressure, Rear-View Camera, Automatic Headlights"
2018 INFINITI Q50,"$29,499",JN1EV7AR1JM444871,"21,811 miles, automatic transmission, all wheel drive, 300 horsepower, gas engine, 19 city / 27 hwy, 5 Seats","Auto Climate Control, Dual-Zone Climate Control, Keyless Ignition, Rain-Sensing Wipers, Steering Wheel Controls, Handsfree/Bluetooth Integration, Individual Tire Pressure Monitoring System, Rear-View Camera, Heated Mirrors, LED Fog Lights, Turn Signal Mirrors"
2020 Chevrolet Equinox,"$25,499",2GNAXUEV5L6111061,"45,203 miles, automatic transmission, all wheel drive, 170 horsepower, gas engine, 25 city / 30 hwy, 5 Seats","extended range Remote Keyless Entry, Power driver lumbar, telescoping| Steering wheel, 2  with auxiliary input jack, Android Auto capable., Apple CarPlay, area| Bluetooth, AWD, color| Headlamps, Turbo DOHC"
2019 Jeep Compass,"$26,990",3C4NJDCB7KT669542,"29,588 miles, automatic transmission, four wheel drive, 180 horsepower, gas engine, 22 city / 30 hwy, 5 Seats","Heated Seats, Navigation System, Push Button Start, Tilt & Telescoping Wheel, Bluetooth Wireless, Electronic Stability Control, Fog Lights"
2018 Alfa Romeo Stelvio,"$31,999",ZASFAKBN4J7C16543,"20,413 miles, automatic transmission, all wheel drive, 280 horsepower, gas engine, 22 city / 28 hwy, 5 Seats","Auto Climate Control, Dual-Zone Climate Control, Heated Seats, Heated Steering Wheel, Power Liftgate, Rain-Sensing Wipers, Remote Keyless Entry, Remote Start, Steering Wheel Controls, Android Auto, Apple Carplay, Handsfree/Bluetooth Integration, Blind Spot Monitor, Collision Warning System, Front Parking Sensors, Rear-View Camera, Automatic Headlights, Heated Mirrors, Roof Rails"
2016 Honda Fit,"$19,990",JHMGK5H55GS010056,"17,783 miles, automatic transmission, front wheel drive, 130 horsepower, gas engine, 33 city / 41 hwy, 5 Seats","Keyless Entry, Tilt & Telescoping Wheel, Bluetooth Wireless"
2017 Audi A4,"$27,990",WAUGNAF47HN021312,"21,513 miles, automated manual transmission, front wheel drive, 252 horsepower, gas engine, 25 city / 33 hwy, 5 Seats","Heated Seats, Keyless Entry, Tilt & Telescoping Wheel, Bluetooth Wireless, Electronic Stability Control"
2015 Dodge Challenger,"$33,590",2C3CDZBT5FH851099,"12,985 miles, manual transmission, rear wheel drive, 375 horsepower, gas engine, 15 city / 23 hwy, 5 Seats","Heated Seats, Keyless Entry, Navigation System, Tilt & Telescoping Wheel, Bluetooth Wireless, Electronic Stability Control, Parking Sensors, Fog Lights"
2018 Jeep Wrangler,"$41,999",1C4HJXEG0JW122208,"15,354 miles, manual transmission, four wheel drive, 17 city / 23 hwy, 5 Seats","Auto Climate Control, Heated Seats, Heated Steering Wheel, Remote Keyless Entry, Steering Wheel Controls, Handsfree/Bluetooth Integration, Collision Warning System, No pressure, Rear-View Camera, Stability Control, Fog Lights, Heated Mirrors"
2019 Jeep Wrangler,"$41,990",1C4HJXDN3KW640704,"12,565 miles, automatic transmission, four wheel drive, 270 horsepower, hybrid engine, 17 city / 23 hwy, 5 Seats","Keyless-go, Tilt & Telescoping Wheel, Bluetooth Wireless, Electronic Stability Control, Fog Lights, Towing Pkg"
2019 GMC Terrain,"$23,990",3GKALPEV5KL183317,"52,497 miles, automatic transmission, front wheel drive, 170 horsepower, gas engine, 26 city / 30 hwy, 5 Seats","Heated Seats, Push Button Start, Tilt & Telescoping Wheel, Bluetooth Wireless, HID Headlamps"
2018 Dodge Charger,"$29,990",2C3CDXJG1JH231027,"28,396 miles, automatic transmission, all wheel drive, 300 horsepower, gas engine, 18 city / 27 hwy, 5 Seats","Heated Seats, Keyless Start, Navigation System, Power Trunk Release, Bluetooth Wireless, Electronic Stability Control, Rear Park Assist, Fog Lights"
2017 Nissan Altima,"$18,990",1N4AL3AP1HC203035,"64,041 miles, automatic transmission, front wheel drive, 179 horsepower, gas engine, 27 city / 39 hwy, 5 Seats","Heated Seats, Keyless Start, Tilt & Telescoping Wheel, Bluetooth Wireless, Bose Premium Sound, Blind-Spot Monitor, Fog Lights"
2019 Chrysler 300,"$26,999",2C3CCAEGXKH693601,"51,135 miles, automatic transmission, rear wheel drive, 292 horsepower, gas engine, 19 city / 30 hwy, 5 Seats","12-Way Power Passenger Seat, Apple CarPlay, Bluetooth, Brake Assist, Running Headlamps, Trailer Sway"
2021 Jeep Grand Cherokee,"$47,590",1C4RJFCG3MC639316,"14,967 miles, automatic transmission, four wheel drive, 295 horsepower, gas engine, 18 city / 25 hwy, 5 Seats","ABS (4-Wheel), AM/FM/HD Radio, Air Conditioning, Alarm System, Bi-Xenon Headlamps, Blind-Spot Alert, Bluetooth Wireless, Cruise Control, Daytime Running Lights, Dual Air Bags, Dual Power Seats, Dual-Pane Panoramic Sun Roof, Electronic Stability Control, F&R Head Curtain Air Bags, Fog Lights, Heated Seats, Hill Descent Control, Hill Start Assist Control, Keyless Entry, Keyless Start"
2018 Jeep Wrangler,"$43,999",1C4HJXFG2JW265580,"49,502 miles, automatic transmission, four wheel drive, 17 city / 23 hwy, 5 Seats","Auto Climate Control, Dual-Zone Climate Control, Heated Seats, Heated Steering Wheel, Navigation System, Remote Keyless Entry, Remote Start, Steering Wheel Controls, Handsfree/Bluetooth Integration, Collision Warning System, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, LED Fog Lights"
2016 Lexus GX 460,"$38,999",JTJBM7FX3G5138507,"51,674 miles, automatic transmission, four wheel drive, 301 horsepower, gas engine, 15 city / 20 hwy, 7 Seats","Auto Climate Control, Heated Seats, Navigation Package, Rain-Sensing Wipers, Remote Keyless Entry, Seat Memory, Steering Wheel Controls, Three-Zone Climate Control, Handsfree/Bluetooth Integration, Premium Sound System, Blind Spot Monitor, Collision Warning System, Front Parking Sensors, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Heated Mirrors, LED Fog Lights, Roof Rails, Trailer Hitch, Turn Signal Mirrors"
2017 Chevrolet Corvette,"$55,999",1G1YK2D75H5104507,"10,056 miles, automatic transmission, rear wheel drive, 16 city / 25 hwy, 2 Seats","Auto Climate Control, Heated Seats, Keyless Ignition, Navigation System, Steering Wheel Controls, Handsfree/Bluetooth Integration, No pressure, Rear-View Camera"
2016 Porsche Cayman,"$50,999",WP0AA2A82GK170392,"29,482 miles, manual transmission, rear wheel drive, 20 city / 30 hwy, 2 Seats","Keyless Entry, Navigation System, Steering Wheel Controls, Handsfree/Bluetooth Integration, Stability Control, Tire Pressure Monitoring System, Fog Lights, Heated Mirrors"
2018 Dodge Charger,"$39,999",2C3CDXGJ5JH327441,"30,404 miles, automatic transmission, rear wheel drive, 485 horsepower, gas engine, 15 city / 25 hwy, 5 Seats","Dual-Zone Climate Control, Navigation System, Remote Keyless Entry, Remote Start, Steering Wheel Controls, Android Auto, Apple Carplay, Handsfree/Bluetooth Integration, Subwoofer, Blind Spot Monitor, Rear Parking Sensors, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Heated Mirrors, LED Fog Lights"
2020 BMW 2 Series Gran Coupe,"$34,990",WBA73AK02L7F98130,"12,152 miles, automatic transmission, all wheel drive, 228 horsepower, gas engine, 23 city / 33 hwy, 5 Seats","Dynamic Cruise Control, Heated Seats, Keyless Entry, Navigation System, Power Trunk Release, Tilt & Telescoping Wheel, Bluetooth Wireless, Dynamic Stability Control, Lane Departure Warning System, LED Headlamps"
2018 Ford Expedition,"$52,999",1FMJK1JT4JEA57671,"40,647 miles, automatic transmission, four wheel drive, 375 horsepower, gas engine, 16 city / 21 hwy, 8 Seats","Auto Climate Control, Dual-Zone Climate Control, Navigation System, Remote Start, Steering Wheel Controls, Blind Spot Monitor, Rear Parking Sensors, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Halogen Headlights, Roof Rack, Trailer Hitch"
,,,,
2017 Chevrolet Corvette,"$56,499",1G1YD2D79H5102995,"7,215 miles, automatic transmission, rear wheel drive, 460 horsepower, gas engine, 16 city / 25 hwy, 2 Seats","Auto Climate Control, Dual-Zone Climate Control, Heated Seats, Keyless Entry, Navigation System, Seat Memory, Steering Wheel Controls, Android Auto, Apple Carplay, Handsfree/Bluetooth Integration, Wi-Fi Hotspot, Head-Up Display, No pressure, Rear Parking Sensors, Rear-View Camera, Stability Control, Heated Mirrors"
2017 Chevrolet Camaro,"$37,999",1G1FG1R7XH0111140,"7,085 miles, manual transmission, rear wheel drive, 455 horsepower, gas engine, 16 city / 25 hwy, 4 Seats","Auto Climate Control, Cooled Seats, Dual-Zone Climate Control, Heated Seats, Keyless Entry, Seat Memory, Steering Wheel Controls, Android Auto, Apple Carplay, Wi-Fi Hotspot, Wireless Phone Charger, Blind Spot Monitor, Head-Up Display, Lane Departure Warning, No pressure, Rear-View Camera, Stability Control, Automatic Headlights, Heated Mirrors"
2016 Ford Fusion Hybrid,"$17,999",3FA6P0LU9GR310054,"41,853 miles, automatic transmission, front wheel drive, 188 horsepower, hybrid engine, 44 city / 41 hwy, 5 Seats","Auto Climate Control, Dual-Zone Climate Control, Remote Keyless Entry, Steering Wheel Controls, Stability Control, Tire Pressure Monitoring System, Automatic Headlights, Heated Mirrors, Turn Signal Mirrors"
